Word,Transliteration,Transcription
urn:cite:oldpersian:orth.form64,ta-ya-a,tyā
urn:cite:oldpersian:orth.form65,ta-ya,tyaišām
urn:cite:oldpersian:orth.form157,ta-ya-a-ma,
urn:cite:oldpersian:orth.form178,ta-ya-ma,
urn:cite:oldpersian:orth.form66,ta-ya-i-sha-a-ma,tyaišām
urn:cite:oldpersian:orth.form67,ta-ya-i-ya,tyaiy
urn:cite:oldpersian:orth.form83,tha-a-ta-i-ya,ϑātiy
urn:cite:oldpersian:orth.form137,tha-ha-ya-a-ma-ha-ya,
urn:cite:oldpersian:orth.form183,tha-ka-ta-a,
urn:cite:oldpersian:orth.form98,tha-ra-da,ϑarda
urn:cite:oldpersian:orth.form82,tha-ta-gu-u-sha,Θataguš
urn:cite:oldpersian:orth.form196,u-ba-ra-ta-ma,
urn:cite:oldpersian:orth.form199,u-fa-ra-sa-ta-ma,
urn:cite:oldpersian:orth.form68,u-sha-ka-ha-ya-a,uškahyā
urn:cite:oldpersian:orth.form69,u-ta-a,utā
urn:cite:oldpersian:orth.form70,u-va-a-ra-za-mi-i-ya,Uvārazmīy
urn:cite:oldpersian:orth.form71,u-va-ja,Ūvja
urn:cite:oldpersian:orth.form162,va-ya-ma,
urn:cite:oldpersian:orth.form72,va-sha-na-a,vašnā
urn:cite:oldpersian:orth.form73,va-za-ra-ka,vazraka
urn:cite:oldpersian:orth.form130,vi-sha-ta-a-sa-pa,
urn:cite:oldpersian:orth.form74,vi-i-sha-ta-a-sa-pa-ha-ya-a,Vištāspahyā
urn:cite:oldpersian:orth.form126,vi-sha-ta-a-sa-pa-ha-ya-a,Vištāspahyā
urn:cite:oldpersian:orth.form75,vi-i-tha-ma,viϑam
urn:cite:oldpersian:orth.form156,vi-i-tha-ma,viϑam
urn:cite:oldpersian:orth.form190,xa-sha-pa-va-a,
urn:cite:oldpersian:orth.form169,xa-sha-sra-ma,
urn:cite:oldpersian:orth.form120,xa-sha-ya-a-ra-sha-a,Xšayāršā
urn:cite:oldpersian:orth.form114,xa-sha-ya-a-ra-sha-a-ma,Xšayāršām
urn:cite:oldpersian:orth.form77,xa-sha-a-ya-tha-i-ya,xšāyaϑiya
urn:cite:oldpersian:orth.form121,xa-sha-ya-tha-i-ya-ma,xšāyaϑiyam
urn:cite:oldpersian:orth.form91,xa-sha-a-ya-tha-i-ya-a,xšāyaϑiyā
urn:cite:oldpersian:orth.form115,xa-sha-a-ya-tha-i-ya-ma,xšāyaϑiyām
urn:cite:oldpersian:orth.form78,xa-sha-a-ya-tha-i-ya-a-na-a-ma,xšāyaϑiyānām
urn:cite:oldpersian:orth.form79,ya-di-i-ya,yadiy
urn:cite:oldpersian:orth.form155,ya-a-ta-a,
urn:cite:oldpersian:orth.form89,ya-tha-a,yaϑā
urn:cite:oldpersian:orth.form80,ya-u-na-a,Yaunā
urn:cite:oldpersian:orth.form185,ya-u-na,
urn:cite:oldpersian:orth.form81,za-ra-ka,Zraka
